target,source,music,protocol,fraction,fold,repeat,N,MAE,skill,spearman
movie,tv+game+book,False,B,0.0,6,0,102,0.9607843137254902,-0.02465048705551709,0.01699913586782351
movie,tv+game+book,False,C,0.0,6,0,102,0.9607843137254902,-0.02465048705551709,0.01699913586782351
movie,tv+game+book,False,C,0.25,6,0,102,0.7058823529411765,0.2471955605306404,0.6972648611613795
movie,tv+game+book,False,C,0.5,6,0,102,0.6862745098039216,0.26810679496034495,0.6973605231697444
movie,tv+game+book,False,C,1.0,6,0,102,0.6813725490196079,0.27333460356777106,0.7059707211131121
movie,(target-only),False,A,1.0,7,0,99,0.5,0.28448021264028345,0.713605798784656
movie,tv,False,B,0.0,7,0,99,0.6666666666666666,0.045973616853711374,0.3467505055479633
movie,tv,False,C,0.0,7,0,99,0.6666666666666666,0.045973616853711374,0.3467505055479633
movie,tv,False,C,0.25,7,0,99,0.5303030303030303,0.2411153770427249,0.6463469557386076
movie,tv,False,C,0.5,7,0,99,0.4898989898989899,0.29893515783946967,0.7132477411222823
movie,tv,False,C,1.0,7,0,99,0.5,0.28448021264028345,0.6847325011968299
movie,game,False,B,0.0,7,0,99,0.8232323232323232,-0.1780780337336747,0.07371786927819214
movie,game,False,C,0.0,7,0,99,0.8232323232323232,-0.1780780337336747,0.07371786927819214
movie,game,False,C,0.25,7,0,99,0.5151515151515151,0.26279779484150423,0.6496123480904133
movie,game,False,C,0.5,7,0,99,0.51010101010101,0.27002526744109734,0.6977654227310405
movie,game,False,C,1.0,7,0,99,0.48484848484848486,0.3061626304390628,0.7073154600576906
movie,book,False,B,0.0,7,0,99,0.9646464646464646,-0.38044726652228134,-0.0293185711867045
movie,book,False,C,0.0,7,0,99,0.9646464646464646,-0.38044726652228134,-0.0293185711867045
movie,book,False,C,0.25,7,0,99,0.5454545454545454,0.21943295924394568,0.5992076131317008
movie,book,False,C,0.5,7,0,99,0.5505050505050505,0.21220548664435257,0.6624300359007493
movie,book,False,C,1.0,7,0,99,0.51010101010101,0.27002526744109734,0.6848671309412286
movie,tv+game,False,B,0.0,7,0,99,0.7373737373737373,-0.055210999540592054,0.2868671155454732
movie,tv+game,False,C,0.0,7,0,99,0.7373737373737373,-0.055210999540592054,0.2868671155454732
movie,tv+game,False,C,0.25,7,0,99,0.5606060606060606,0.19775054144516635,0.6091818376206419
movie,tv+game,False,C,0.5,7,0,99,0.5202020202020202,0.2555703222419111,0.6507154479689636
movie,tv+game,False,C,1.0,7,0,99,0.4797979797979798,0.3133901030386559,0.7344002010893113
movie,tv+book,False,B,0.0,7,0,99,0.7626262626262627,-0.0913483625385576,-0.0704741343923889
movie,tv+book,False,C,0.0,7,0,99,0.7626262626262627,-0.0913483625385576,-0.0704741343923889
movie,tv+book,False,C,0.25,7,0,99,0.5404040404040404,0.22666043184353868,0.601044023774718
movie,tv+book,False,C,0.5,7,0,99,0.5151515151515151,0.26279779484150423,0.6726061989508085
movie,tv+book,False,C,1.0,7,0,99,0.51010101010101,0.27002526744109734,0.6737409295115351
movie,game+book,False,B,0.0,7,0,99,0.7575757575757576,-0.0841208899389645,0.03461908838915109
movie,game+book,False,C,0.0,7,0,99,0.7575757575757576,-0.0841208899389645,0.03461908838915109
movie,game+book,False,C,0.25,7,0,99,0.5606060606060606,0.19775054144516635,0.5766925512116677
movie,game+book,False,C,0.5,7,0,99,0.5252525252525253,0.2483428496423179,0.6475880573084069
movie,game+book,False,C,1.0,7,0,99,0.5050505050505051,0.27725274004069034,0.7145399823389702
movie,tv+game+book,False,B,0.0,7,0,99,0.7474747474747475,-0.06966594473977827,0.03781737344231047
movie,tv+game+book,False,C,0.0,7,0,99,0.7474747474747475,-0.06966594473977827,0.03781737344231047
movie,tv+game+book,False,C,0.25,7,0,99,0.5353535353535354,0.2338879044431318,0.6143413303861731
movie,tv+game+book,False,C,0.5,7,0,99,0.5454545454545454,0.21943295924394568,0.6275680619441354
movie,tv+game+book,False,C,1.0,7,0,99,0.47474747474747475,0.320617575638249,0.7322009158501718
movie,(target-only),False,A,1.0,8,0,88,0.5397727272727273,0.28650815034352684,0.6020948365448169
movie,tv,False,B,0.0,8,0,88,0.7159090909090909,0.05368449413983567,0.3597162731132829
movie,tv,False,C,0.0,8,0,88,0.7159090909090909,0.05368449413983567,0.3597162731132829
movie,tv,False,C,0.25,8,0,88,0.625,0.17385154250303114,0.5061618343590221
movie,tv,False,C,0.5,8,0,88,0.6193181818181818,0.18136198302573092,0.5028866756356939
movie,tv,False,C,1.0,8,0,88,0.5625,0.25646638825272805,0.5536417673494028
movie,game,False,B,0.0,8,0,88,0.8863636363636364,-0.17162872154115583,-0.006931563076247577
movie,game,False,C,0.0,8,0,88,0.8863636363636364,-0.17162872154115583,-0.006931563076247577
movie,game,False,C,0.25,8,0,88,0.5852272727272727,0.22642462616192915,0.5723904333746037
movie,game,False,C,0.5,8,0,88,0.5965909090909091,0.21140374511652982,0.5510997110960362
movie,game,False,C,1.0,8,0,88,0.5681818181818182,0.24895594773002827,0.5654308658302244
