domain,fraction,fold,repeat,n_train,n_test,MAE,skill
movie,0.5,41,1,450,100,0.535,0.25591098748261476
movie,0.5,41,2,450,100,0.465,0.35326842837274
movie,0.75,41,0,675,100,0.45,0.37413073713490963
movie,0.75,41,1,675,100,0.495,0.31154381084840066
movie,0.75,41,2,675,100,0.47,0.3463143254520168
movie,1.0,41,0,900,100,0.475,0.3393602225312936
movie,0.25,42,0,225,100,0.515,0.3483395664032841
movie,0.25,42,1,225,100,0.475,0.39895396901273783
movie,0.25,42,2,225,100,0.52,0.3420127660771024
movie,0.5,42,0,450,100,0.515,0.3483395664032841
movie,0.5,42,1,450,100,0.41,0.4812023732531
movie,0.5,42,2,450,100,0.475,0.39895396901273783
movie,0.75,42,0,675,100,0.54,0.31670556477237555
movie,0.75,42,1,675,100,0.495,0.373646767708011
movie,0.75,42,2,675,100,0.515,0.3483395664032841
movie,1.0,42,0,900,100,0.48,0.3926271686865561
movie,0.25,43,0,225,100,0.495,0.365764072776971
movie,0.25,43,1,225,100,0.5,0.35935764926966773
movie,0.25,43,2,225,100,0.525,0.32732553173315104
movie,0.5,43,0,450,100,0.485,0.3785769197915777
movie,0.5,43,1,450,100,0.51,0.346544802255061
movie,0.5,43,2,450,100,0.49,0.37217049628427434
movie,0.75,43,0,675,100,0.49,0.37217049628427434
movie,0.75,43,1,675,100,0.46,0.4106090373280943
movie,0.75,43,2,675,100,0.505,0.3529512257623644
movie,1.0,43,0,900,100,0.525,0.32732553173315104
movie,0.25,44,0,225,100,0.49,0.3290530671859785
movie,0.25,44,1,225,100,0.545,0.2537426971762413
movie,0.25,44,2,225,100,0.485,0.33589946445959096
movie,0.5,44,0,450,100,0.455,0.3769778481012658
movie,0.5,44,1,450,100,0.46,0.3701314508276533
movie,0.5,44,2,450,100,0.475,0.3495922590068159
movie,0.75,44,0,675,100,0.46,0.3701314508276533
movie,0.75,44,1,675,100,0.5,0.31536027263875355
movie,0.75,44,2,675,100,0.52,0.28797468354430367
movie,1.0,44,0,900,100,0.46,0.3701314508276533
movie,0.25,45,0,225,100,0.57,0.26375613536553855
movie,0.25,45,1,225,100,0.54,0.3025058124515627
